German_Variable,Variable name,Translation,Beschreibung,description
KR_VERF_ALLTECH_50MBIT_4,KR_VERF_ALLTECH_16MBIT_4,Private broadband availability 16 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_50MBIT_5,KR_VERF_ALLTECH_16MBIT_5,Private broadband availability 16 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 50 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 16 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_50MBIT_99,KR_VERF_ALLTECH_16MBIT_99,Private broadband availability 16 Mbit / s - no information,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_100MBIT_1,KR_VERF_ALLTECH_30MBIT_1,Private broadband availability 30 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 30 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_100MBIT_2,KR_VERF_ALLTECH_30MBIT_2,Private broadband availability 30 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 11% -50% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_100MBIT_3,KR_VERF_ALLTECH_30MBIT_3,Private broadband availability 30 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_100MBIT_4,KR_VERF_ALLTECH_30MBIT_4,Private broadband availability 30 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 76% - 95% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_100MBIT_5,KR_VERF_ALLTECH_30MBIT_5,Private broadband availability 30 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 100 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 30 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_100MBIT_99,KR_VERF_ALLTECH_30MBIT_99,Private broadband availability 30 Mbit / s - no information,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_200MBIT_1,KR_VERF_ALLTECH_50MBIT_1,Private broadband availability 50 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 50 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_200MBIT_2,KR_VERF_ALLTECH_50MBIT_2,Private broadband availability 50 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband"
KR_VERF_ALLTECH_200MBIT_3,,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","availability of> = 50 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_200MBIT_4,KR_VERF_ALLTECH_50MBIT_3,Private broadband availability 50 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_200MBIT_5,KR_VERF_ALLTECH_50MBIT_4,Private broadband availability 50 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 200 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 76% - 95% of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_200MBIT_99,KR_VERF_ALLTECH_50MBIT_5,Private broadband availability 50 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 50 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_400MBIT_1,KR_VERF_ALLTECH_50MBIT_99,Private broadband availability 50 Mbit / s - no information,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_400MBIT_2,KR_VERF_ALLTECH_100MBIT_1,Private broadband availability 100 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> = 100 Mbit / s (based on all technologies)
KR_VERF_ALLTECH_400MBIT_3,KR_VERF_ALLTECH_100MBIT_2,Private broadband availability 100 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_400MBIT_4,KR_VERF_ALLTECH_100MBIT_3,Private broadband availability 100 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 51% -75 of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_400MBIT_5,KR_VERF_ALLTECH_100MBIT_4,Private broadband availability 100 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 400 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_400MBIT_99,KR_VERF_ALLTECH_100MBIT_5,Private broadband availability 100 Mbit / s - 96- 100% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses where 96% -100% of
households have private broadband availability of> = 100 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_1000MBIT_1,KR_VERF_ALLTECH_100MBIT_99,Private broadband availability 100 Mbit / s - no information,"Anzahl Adressen, bei denen 10 % der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses for which no information on household coverage is available (based on all technologies)
KR_VERF_ALLTECH_1000MBIT_2,KR_VERF_ALLTECH_200MBIT_1,Private broadband availability 200 Mbit / s - 10% of households,"Anzahl Adressen, bei denen 11 %-50% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)",Number of addresses at which 10% of households have private broadband availability of> =
KR_VERF_ALLTECH_1000MBIT_3,,,"Anzahl Adressen, bei denen 51 %-75 der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","200 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_1000MBIT_4,KR_VERF_ALLTECH_200MBIT_2,Private broadband availability 200 Mbit / s - 11 - 50% of households,"Anzahl Adressen, bei denen 76 % - 95% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 11% -50% of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_1000MBIT_5,KR_VERF_ALLTECH_200MBIT_3,Private broadband availability 200 Mbit / s - 51-75% of households,"Anzahl Adressen, bei denen 96 %-100% der Haushalte eine private Breitbandverfügbarkeit von >= 1000 Mbit/s haben (bezogen auf alle Techniken)","Number of addresses where 51% -75 of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
KR_VERF_ALLTECH_1000MBIT_99,KR_VERF_ALLTECH_200MBIT_4,Private broadband availability 200 Mbit / s - 76-95% of households,"Anzahl Adressen, bei denen keine Angabe zur Abdeckung der Haushalte verfügbar ist (bezogen auf alle Techniken)","Number of addresses at which 76% - 95% of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
KR_OPNV_D,KR_VERF_ALLTECH_200MBIT_5,Private broadband availability 200 Mbit / s - 96- 100% of households,Einwohnergewichtete Luftliniendistanz zur nächsten Haltestelle des ÖPNV mit mind. 10 Abfahrten am Tag,"Number of addresses where 96% -100% of
households have private broadband availability of> = 200 Mbit / s (based
on all technologies)"
KR_OPNV_B,KR_VERF_ALLTECH_200MBIT_99,Private broadband availability 200 Mbit / s - no information,Anteil Einwohner mit max. 1000m Luftliniendistanz zur nächsten Haltestelle des ÖPNV mit mind. 10 Abfahrten am Tag,Number of addresses for which no information on household coverage is available (based on all technologies)
KR_SM_B,KR_VERF_ALLTECH_400MBIT_1,Private broadband availability 400 Mbit / s - 10% of households,Anteil Einwohner mit max. 1000m Luftliniendistanz zum nächsten Supermarkt oder Discounter,Number of addresses at which 10% of households have private broadband availability of> = 400 Mbit / s (based on all technologies)
KR_SM_D,KR_VERF_ALLTECH_400MBIT_2,Private broadband availability 400 Mbit / s - 11 - 50% of households,Einwohnergewichtete Luftliniendistanz zum nächsten Supermarkt oder Discounter,"Number of addresses where 11% -50% of
households have private broadband availability of> = 400 Mbit / s (based
on all technologies)"
KR_OPNV_IDX,KR_VERF_ALLTECH_400MBIT_3,Private broadband availability 400 Mbit / s - 51-75% of households,Index zur ÖPNV-Verfügbarkeit - Mittelwert über alle Adressen,"Number of addresses at which 51% -75 of
households have private broadband availability of> = 400 Mbit / s (based
on all technologies)"
KR_DIST_BUSH,KR_VERF_ALLTECH_400MBIT_4,Private broadband availability 400 Mbit / s - 76-95% of households,Durchschnittliche Entfernung zur nächsten Bushaltestelle (in Metern),"Number of addresses at which 76% - 95% of
households have private broadband availability of> = 400 Mbit / s (based
on all technologies)"
KR_DIST_BHF,KR_VERF_ALLTECH_400MBIT_5,Private broadband availability 400 Mbit / s - 96- 100% of households,Durchschnittliche Entfernung zum nächsten Bahnhof (in Metern),"Number of addresses where 96% -100% of
households have private broadband availability of> = 400 Mbit / s (based
on all technologies)"
KR_DIST_OPNV,KR_VERF_ALLTECH_400MBIT_99,Private broadband availability 400 Mbit / s - no information,Durchschnittliche Entfernung zur nächsten ÖPNV-Haltestestelle (in Metern),Number of addresses for which no information on household coverage is
KR_DIST_USTRAB,,,Durchschnittliche Entfernung zur nächsten U-Bahn (in Metern),"available (based on
all technologies)"
KR_AR_ALLG,KR_VERF_ALLTECH_1000MBIT_1,Private broadband availability 1000 Mbit / s - 10% of households,Allgemeinärzte je 10.000 Einwohner,Number of addresses at which 10% of households have private broadband availability of> = 1000 Mbit / s (based on all technologies)
KR_AR_EW,KR_VERF_ALLTECH_1000MBIT_2,Private broadband availability 1000 Mbit / s - 11 - 50% of households,Anzahl Ärzte je 10.000 Einwohner,"Number of addresses where 11% -50% of
households have private broadband availability of> = 1000 Mbit / s (based on all
technologies)"
KR_EW_AR,KR_VERF_ALLTECH_1000MBIT_3,Private broadband availability 1000 Mbit / s - 51-75% of households,Anzahl Einwohner je Arzt,"Number of addresses where 51% -75 of
households have private broadband availability of> = 1000 Mbit / s (based on all
technologies)"
KR_AR_HAUS,KR_VERF_ALLTECH_1000MBIT_4,Private broadband availability 1000 Mbit / s - 76-95% of households,Anzahl Hausärzte je 10.000 Einwohner,"Number of addresses where 76% - 95% of
households have private broadband availability of> = 1000 Mbit / s (based on all
technologies)"
KR_AR_INT,KR_VERF_ALLTECH_1000MBIT_5,Private broadband availability 1000 Mbit / s - 96- 100% of households,Anzahl Internisten je 10.000 Einwohner,"Number of addresses where 96% -100% of
households have private broadband availability of> = 1000 Mbit / s (based on all
technologies)"
KR_AR_KIND,KR_VERF_ALLTECH_1000MBIT_99,Private broadband availability 1000 Mbit / s - no information,Anzahl Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Number of addresses for which no information on household coverage is available (based on all technologies)
KR_APO,KR_OPNV_D,Local supply Public transport stops - average distance,Anzahl Apotheken je 100.000 Einwohner,Resident-weighted linear distance to the next public transport stop with at least 10 departures a day
KR_KH,KR_OPNV_B,Local supply public transport stops - population 1km radius,Anzahl Krankenhäuser,Proportion of residents with a maximum straight line distance of 1000 m to the next public transport stop with at least 10 departures a day
KR_KH_BETT,KR_SM_B,Local supply supermarkets - population 1km radius,Anzahl aufgestellte Betten in Krankenhäusern im Jahresdurchschnitt,Proportion of residents with a maximum straight line distance of 1000 m to the nearest supermarket or discounter
KR_KH_BETT_EW,KR_SM_D,Local supply supermarkets - average distance,Anzahl aufgestellte Betten in Krankenhäusern  je 1.000 Einwohner,Resident-weighted straight line distance to the nearest supermarket or discount store
KR_KH_BETT_FAB1,KR_OPNV_IDX,Public transport availability,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Augenheilkunde,Public transport availability index - average over all addresses
KR_KH_BETT_FAB2,KR_DIST_BUSH,Distance to the bus stop,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Chirurgische Fachabteilungen,Average distance to the next bus stop
KR_KH_BETT_FAB3,,,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Frauenheilkunde und Geburtshilfe,(in meters)
KR_KH_BETT_FAB4,KR_DIST_BHF,Distance train station,"Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Hals-, Nasen- und Ohrenheilkunde",Average distance to the nearest train station (in meters)
KR_KH_BETT_FAB5,KR_DIST_OPNV,Distance to public transport stop,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Haut- und Geschlechtskrankheiten,Average distance to the next public transport stop (in meters)
KR_KH_BETT_FAB6,KR_DIST_USTRAB,Distance underground,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Innere Medizin,Average distance to the nearest subway (in meters)
KR_KH_BETT_FAB7,KR_AR_ALLG,General practitioners,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Geriatrie,"General practitioners per 10,000 inhabitants"
KR_KH_BETT_FAB8,KR_AR_EW,Doctors per inhabitant,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Kinderheilkunde,"Number of doctors per 10,000 inhabitants"
KR_KH_BETT_FAB9,KR_EW_AR,Inhabitants per doctor,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Neurologie,Number of residents per doctor
KR_KH_BETT_FAB10,KR_AR_HAUS,Family doctors,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Orthopädie,"Number of general practitioners per 10,000 inhabitants"
KR_KH_BETT_FAB11,KR_AR_INT,Internists,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Urologie,"Number of internists per 10,000 inhabitants"
KR_KH_BETT_FAB12,KR_AR_KIND,Pediatricians,Anzahl aufgestellte Betten in Krankenhäusern in allgemeinen Fachabteilungen - Übrige Fachbereiche,"Number of paediatricians per 10,000 children up
to 15 years"
KR_KH_BETT_FAB13,KR_APO,Pharmacies,Anzahl aufgestellte Betten in Krankenhäusern in psychiatrischen Fachabteilungen - Kinder- und Jugendpsychiatrie und -psychotherapie,"Number of pharmacies per 100,000 inhabitants"
KR_KH_BETT_FAB14,KR_KH,Hospitals,Anzahl aufgestellte Betten in Krankenhäusern in psychiatrischen Fachabteilungen - Psychiatrie und Psychotherapie,Number of hospitals
KR_KH_BETT_FAB15,KR_KH_BETT,Hospital beds,Anzahl aufgestellte Betten in Krankenhäusern in psychiatrischen Fachabteilungen - Psychotherapeutische Medizin,Average number of beds installed in hospitals for the year
KR_KHP,KR_KH_BETT_EW,"Hospital beds per 1,000 inhabitants",Anzahl vollstationär behandelte Patienten in Krankenhäusern (Wohnort),"Number of beds set up in hospitals per 1,000 inhabitants"
KR_KHP_DG1,KR_KH_BETT_FAB1,Hospital beds by specialist department - ophthalmology,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - A00-B99 Bestimmte infektiöse und parasitäre Krankheiten,Number of beds set up in hospitals in general specialist departments - ophthalmology
KR_KHP_DG2,KR_KH_BETT_FAB2,Hospital beds by department - surgical departments,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - C00-D48 Neubildungen,Number of beds set up in hospitals in general specialist departments - surgical departments
KR_KHP_DG3,KR_KH_BETT_FAB3,Hospital beds by department - gynecology and obstetrics,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - D50-D90 Krankheiten des Blutes und der blutbildenden Organe,Number of beds set up in hospitals in general specialist departments - gynecology and obstetrics
KR_KHP_DG4,KR_KH_BETT_FAB4,"Hospital beds by department - ear, nose and throat medicine","Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - E00-E90 Endokrine, Ernährungs und Stoffwechselkrankheiten","Number of beds set up in hospitals in general specialist departments - ear, nose and throat medicine"
KR_KHP_DG5,KR_KH_BETT_FAB5,Hospital beds by department - skin and venereal diseases,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - F00-F99 Psychische Verhaltensstörungen,Number of beds set up in hospitals in general specialist departments - skin and venereal diseases
KR_KHP_DG6,KR_KH_BETT_FAB6,Hospital beds by specialist department - internal medicine,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - G00-G99 Krankheiten des Nervensystems,Number of beds set up in hospitals in general specialist departments - internal medicine
KR_KHP_DG7,KR_KH_BETT_FAB7,Hospital beds by department - geriatrics,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - H00-H59 Krankheiten des Auges und der Augenanhangsgebilde,Number of beds set up in hospitals in general specialist
KR_KHP_DG8,,,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - H60-H95 Krankheiten des Ohres und des Warzenfortsatzes,"departments -
geriatrics"
KR_KHP_DG9,KR_KH_BETT_FAB8,Hospital beds by specialist department - paediatrics,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - I00-I99 Krankheiten des Kreislaufsystems,Number of beds set up in hospitals in general specialist departments - paediatrics
KR_KHP_DG10,KR_KH_BETT_FAB9,Hospital beds by department - neurology,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,Number of beds set up in hospitals in general specialist departments - neurology
KR_KHP_DG11,KR_KH_BETT_FAB10,Hospital beds by specialist department - orthopedics,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - K00-K93 Krankheiten des Verdauungssystems,Number of beds set up in hospitals in general specialist departments - orthopedics
KR_KHP_DG12,KR_KH_BETT_FAB11,Hospital beds by department - urology,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - L00-L99 Krankheiten der Haut und der Unterhaut,Number of beds set up in hospitals in general specialist departments - urology
KR_KHP_DG13,KR_KH_BETT_FAB12,Hospital beds by specialist department - other specialist areas,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - M00-M99 Krankheiten des Muskelskelettsystems und des Bindegewebes,Number of beds set up in hospitals in general specialist departments - other specialist areas
KR_KHP_DG14,KR_KH_BETT_FAB13,Hospital beds by department - child and adolescent psychiatry and psychotherapy,Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - N00-N99 Krankheiten des Urogenitalsystems,Number of beds set up in hospitals in psychiatric departments - child and adolescent psychiatry and psychotherapy
KR_KHP_DG15,KR_KH_BETT_FAB14,Hospital beds by department - psychiatry and psychotherapy,"Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - O00-O99 Schwangerschaft, Geburt und Wochenbett",Number of beds set up in hospitals in psychiatric departments - psychiatry and psychotherapy
KR_KHP_DG16,KR_KH_BETT_FAB15,Hospital beds by specialist department - psychotherapeutic medicine,"Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",Number of beds set up in hospitals in psychiatric departments - psychotherapeutic medicine
KR_KHP_DG17,KR_KHP,Hospital patients,"Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",Number of fully inpatients treated in hospitals (place of residence)
KR_KHP_DG18,KR_KHP_DG1,"Hospital patients by main diagnosis
- A00-B99","Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind","Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - A00-
B99 Certain infectious and
parasitic diseases"
KR_KHP_DG19,KR_KHP_DG2,"Hospital patients by main diagnosis
- C00-D48","Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - S00-T98 Verletzungen,Vergiftungen und bestimmte andere Folgen äußerer Ursachen","Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - C00-
D48 neoplasms"
KR_KHP_DG20,KR_KHP_DG3,"Hospital patients by main diagnosis
- D50-D90",Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - U00-U99 Schlüsselnummern für besondere Zwecke,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - D50-
D90 diseases of the blood and blood-
forming organs"
KR_KHP_DG21,KR_KHP_DG4,"Hospital patients by main diagnosis
- E00-E90","Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Hauptdiagnoseklasse (ICD 10) - Z00-Z99 Faktoren, die die Gesundheit beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen","Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - E00-
E90 Endocrine, nutritional and
metabolic diseases"
KR_KHP_DG22,KR_KHP_DG5,"Hospital patients by main diagnosis
- F00-F99",Anzahl vollstationär behandelte Patienten in Krankenhäusern mit Diagnose unbekannt,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - F00-
F99 Mental
behavioral disorders"
KR_KHP_DG10_00U01,,,Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter unter 1 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,
KR_KHP_DG10_01U05,KR_KHP_DG6,"Hospital patients by main diagnosis
- G00-G99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 1 bis unter 5 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - G00-
G99 diseases of the
nervous system"
KR_KHP_DG10_05U10,KR_KHP_DG7,"Hospital patients by main diagnosis
- H00-H59",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 5 bis unter 10 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - H00-
H59 diseases of the eye and the
appendages"
KR_KHP_DG10_10U15,KR_KHP_DG8,"Hospital patients by main diagnosis
- H60-H95",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 10 bis unter 15 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - H60-
H95 diseases of the ear and mastoid
process"
KR_KHP_DG10_15U20,KR_KHP_DG9,"Hospital patients by main diagnosis
- I00-I99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 15 bis unter 20 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - I00-I99
diseases of the
circulatory system"
KR_KHP_DG10_20U25,KR_KHP_DG10,"Hospital patients by main diagnosis
- J00-J99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 20 bis unter 25 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - J00-J99
Diseases of the
respiratory system"
KR_KHP_DG10_25U30,KR_KHP_DG11,"Hospital patients by main diagnosis
- K00-K93",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 25 bis unter 30 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnostic class (ICD 10) - K00-
K93 diseases of the
digestive system"
KR_KHP_DG10_30U35,KR_KHP_DG12,"Hospital patients by main diagnosis
- L00-L99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 30 bis unter 35 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - L00-
L99 diseases of the skin and subcutaneous
tissue"
KR_KHP_DG10_35U40,KR_KHP_DG13,"Hospital patients by main diagnosis
- M00-M99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 35 bis unter 40 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - M00-
M99 diseases of the musculoskeletal system and
connective tissue"
KR_KHP_DG10_40U45,KR_KHP_DG14,"Hospital patients by main diagnosis
- N00-N99",Anzahl vollstatinär behandelte Patienten in Krankenhäusern mit Alter 40 bis unter 45 Jahre und Hauptdiagnoseklasse (ICD 10) - J00-J99 Krankheiten des  Atmungssystems,"Number of fully inpatients treated in hospitals with main diagnosis class (ICD 10) - N00-
N99 diseases of the genitourinary
system"
